Português,Inglês
Ou...,Or...
Quantos?,How many?
Você pode.,You can.
Deixe-me.,Leave me.
Por enquanto.,For now.
Você é louco.,You are crazy.
Vamos indo.,Let's get going.
Você ouviu?,You heard?
De onde você é?,Where are you from?
Podemos conversar?,We can talk?
Está mentindo.,You're lying.
Ajudem-me!,Help-me!
Segure-se!,Hold on!
Ou não.,Or not.
Fique comigo.,Stay with me.
Sei disso.,I know it.
"Sim, sou eu.",Yes it's me.
Com o quê?,With what?
Vou tentar.,I am going to try.
Que maravilha.,How wonderful.
Crianças.,Children.
Vovó!,Grandfather!
Não sabe?,Do not know?
não.,no.
Eu concordo.,I agree.
Táxi!,Taxi!
Veja só.,See only.
Não sei o que fazer.,I do not know what to do.
Não sabia.,I did not know.
"Bom dia, senhor.",Good day sir.
Me dê isso.,Give me that.
Abaixe a arma.,Put the gun down.
Não diga.,Do not say.
Filho.,Son.
Fique.,Stay.
Espera um pouco.,Wait one moment.
"Bem, eu...",Well I...
Também te amo.,I love you too.
Aguarde.,Wait.
Sua vez.,Your time.
Volto já.,I'll be right back.
No.,At the.
Onde esteve?,Where were you?
Aonde?,To where?
Que merda é essa?,What the fuck?
Tem certeza disso?,Are you sure about that?
A verdade.,The truth.
Todos vocês.,All of you.
Pense.,Think.
Ainda bem.,Fortunately.
Jason.,Jason.
"Sim, é verdade.",Yes it is true.
Preciso de ajuda.,Need help.
Cavalheiros.,Gentlemen.
Está funcionando.,It's working.
Totalmente.,Totally.
Óptimo.,Great.
Está ouvindo?,Hearing this?
Meu...,My...
Até mais tarde.,Until later.
Tempo.,Time.
Maria!,Maria!
"Não, cara.","No, man."
Estamos aqui.,We're here.
Por que diz isso?,Why do you say that?
Podemos?,We can?
Eu atendo.,I answer.
Algo errado?,Something wrong?
É uma pena.,It is a shame.
General.,General.
Ele é...,He is...
Bom te ver.,Good to see you.
Sai daqui!,Get out!
Andy!,Andy!
Você vai ver.,You will see.
Josh!,Josh!
O que você faz?,What do you do?
É um prazer.,Is a pleasure.
Todos eles.,All of them.
"Oi, querido.",Hey darling.
Estamos.,We are.
Estamos indo.,We are going.
É tarde demais.,It's too late.
Duvido.,I doubt.
Eles...,They...
"Vamos, vamos, vamos!",Go Go go!
Outra vez.,Again.
Você está aí?,Are you there?
Comigo?,With me?
Não entende?,Don't you understand?
Maldito!,Damn you!
Thomas.,Thomas.
O que há de errado com você?,What is wrong with you?
Desde quando?,Since when?
Pode me ouvir?,Can you hear me?
Onde vai?,Where you go?
Oh Deus!,Oh God!
Me deixe em paz.,Leave me alone.
Brincadeira.,Joke.
Ow!,OW!
Jura?,Jura?
Preste atenção.,Watch.
Não sou.,I am not.
Ele vai ficar bem.,He'll be fine.
Louis.,Louis.
Até.,Until.
"Obrigado, cara.",Thanks man.
Ele tem razão.,He's right.
Você fez isso?,You did it?
Certeza?,Certainty?
Desligue.,Disconnect.
Eu consigo.,I can.
Você sabia?,Did you know?
Seu filho da puta!,Your son of a bitch!
Esqueça isso.,Forget it.
Afirmativo.,Affirmative.
Enfim...,Anyway...
Está feito.,It's done.
Kyle!,Kyle!
Peguei você.,Got you.
Não faz mal.,It doesn't hurt.
Acorda!,Wake up!
Eu consegui.,I achieved.
Scott!,Scott!
É engraçado.,It is funny.
Como isso aconteceu?,How did this happen?
Você tem?,You have?
Carter.,Carter.
O prazer é meu.,The pleasure is mine.
Brian.,Brian.
Grande.,Big.
Juntos.,Together.
Ajuda!,Help!
Genial.,Genius.
"Oh, cara.","Oh, man."
O que você está falando?,What are you talking?
"Não, acho que não.",I do not think so.
Há quanto tempo?,How long?
Onde estão?,Where are?
Feche os olhos.,Close your eyes.
"Sim, com certeza.",Yes definitely.
Lisa.,Lisa.
Ah é?,Oh yes?
Saia da frente!,Get out of the front!
Pode falar.,He can talk.
Qual o seu problema?,What is your problem?
Já estou indo.,I'm on my way.
Nada mais.,Just it.
Eu me lembro.,I remember.
Você está aqui.,You are here.
Com prazer.,With pleasure.
Você ficará bem.,You will be fine.
Vai ficar bem.,It is going to be alright.
Em frente.,In front.
Aí está ele.,There he is.
Foi incrível.,It was amazing.
"Com licença, senhor.",Excuse me sir.
O que diz?,What it says?
"Não, nada.","No, nothing."
Não dá.,It does not give.
Depende.,It depends.
Oito.,Eight.
Sean!,Sean!
É ótimo.,It's great.
Solte!,Release!
De joelhos!,On your knees!
"Não, senhora.","No, ma'am."
Dean.,Dean.
É claro que não.,Of course not.
Ação!,Action!
Não acha?,Do not you think?
"Por favor, por favor.",Please please.
Não fiz nada.,I did not do nothing.
O que posso fazer?,What can I do?
"E aí, cara?",Hey dude?
O que está esperando?,What are you waiting for?
Sr. Presidente.,Mr President.
Me diga.,Tell me.
Rose!,Rose!
Charles.,Charles.
Você me conhece.,You know me.
Robert.,Robert.
Maggie.,Maggie.
Mm.,Mm.
Espero que não.,Hope not.
O que me diz?,What do you tell me?
Que diabos está fazendo?,What the hell are you doing?
certo?,right?
Como vai você?,How are you doing?
Por quem?,By whom?
É uma longa história.,It's a long story.
Elizabeth.,Elizabeth.
Que tal isso?,What about this?
Vou com você.,I will go with you.
Depois.,After.
Precisamos ir.,We need to go.
"Por favor, pare.",Please stop.
Abby.,Abby.
Sara.,Sara.
Eu vou com você.,I'll go with you.
Dê-me isso.,Give me that.
"Tudo bem, então.",All is well then.
Que nojo!,Disgusting!
Luke!,Luke!
"Vamos, rapazes.",Let's go guys.
Algo assim.,Something like.
Puta que pariu!,Put that gave birth!
Vocês estão bem?,Are you okay?
Digo...,I say ...
Foi ótimo.,It was amazing.
Estou certo?,Am I right?
O que temos?,What we have?
Quem disse isso?,Who said that?
Ele não está aqui.,He is not here.
Licença.,License.
Terminou?,It ended?
Isso não faz sentido.,It makes no sense.
Eh?,Eh?
Eu irei.,I will.
Laura!,Laura!
Não agora.,Not now.
Nunca mais.,Never.
Pode entrar.,You may come in.
Está com medo?,Is afraid?
Quantos anos você tem?,How old are you?
É perfeito.,It's perfect.
Fique calmo.,Stay calm.
Imbecil!,Asshole!
Os dois.,Both.
Meu deus!,My God!
É maravilhoso.,It is wonderful.
"Bem, obrigado.",Well thanks.
Você é um idiota.,You're an idiot.
Não chore.,Do not Cry.
Vamos conversar.,Let's talk.
Ela se foi.,She's gone.
Aposto que sim.,I bet yes.
Aleluia!,Hallelujah!
Vovô!,Grandfather!
É meu.,It's mine.
Quem fez isso?,Who made this?
O que ele fez?,What did he do?
Olhe para ele.,Look at him.
Eu faço.,I make.
Pete!,Pete!
Que se dane.,That damn it.
Quietos!,Quiet!
Foi o que pensei.,That's what I thought.
Vão embora!,Go away!
Segurem-se!,Hold on!
Sai fora!,Get out!
Leo!,Leo!
Eu acho que sim.,I think so.
Desculpe o atraso.,Sorry I'm late.
Eu te conheço.,I know you.
É horrível.,It's horrible.
Fazer o quê?,Do what?
O que posso fazer por você?,What can I do for you?
Não estou brincando.,I am not kidding.
Posso ver?,I can see?
O que está olhando?,What are you looking at?
Você estava certo.,You were right.
"Espera, espera.","Wait, wait."
Tudo pronto.,All ready.
Mas o quê?,But what?
Que aconteceu?,What happened?
Foi um prazer.,It was a pleasure.
Quem disse?,Who said?
Que vergonha!,How embarrassing!
"Vamos, pessoal.",Let's go guys.
Arthur!,Arthur!
Já entendi.,Already understood.
Detetive.,Detective.
Está certa.,I'ts right.
O que quer de mim?,What you want from me?
Eu ouvi.,I heard.
Eu não disse isso.,I did not say that.
Preparem-se.,Get ready.
Para que?,For what?
Peguem-no!,Take it!
Vá se ferrar!,Screw U!
Desça.,Come down.
Simon.,Simon.
"Bem, sim.","Well, yes."
Dez.,Ten.
Amigo.,Friend.
Isso é legal.,That's great.
Olhe pra mim.,Look at me.
Esse é o problema.,That is the problem.
Estou fora.,I am out.
Eu preciso.,I need.
Babaca.,Idiot.
Respire fundo.,Breathe deeply.
Martin.,Martin.
Eca!,ECA!
O que eu disse?,What I said?
Você gosta?,Do you like?
Todo mundo.,Everyone.
Preciso da sua ajuda.,I need your help.
Alan!,Alan!
"Certo, obrigado.","Right, thanks."
Ohh!,Ohh!
Mas que porra?,But what the fuck?
"Sim, acho que sim.","Yes, I think so."
É só...,It's just ...
Mas como?,But how?
Não tenho.,I don't have.
É legal.,It's cool.
Pra quê?,For what?
Segure.,Hold.
Cacete!,BACK!
É seu.,It's yours.
Grace.,Grace.
Lembra-se?,Remember?
Chloe.,Chloe.
Seu pai?,Your father?
Ora!,Now!
"Ah, merda.",Oh shit.
Que loucura.,What a madness.
Duas vezes.,Twice.
Tá bem.,It is fine.
Dan.,Dan.
É uma ordem.,It's an order.
"Vamos, querida.",Let's go dear.
Padre.,Priest.
Posso falar com você?,Can I talk to you?
Boa pergunta.,Good question.
Jenny!,Jenny!
Mãos para cima!,Hands up!
Solte-o!,Leave the!
Sente.,Sit.
Mas que...,What a...
Pare o carro!,Stop the car!
Susan.,Susan.
"Certo, então.",Right then.
Dave.,Dave.
Qual é seu nome?,What's your name?
Isso não é justo.,That's not fair.
Jeff!,Jeff!
Estou grávida.,I'm Pregnant.
Fala.,He speaks.
Está claro?,It is clear?
"Ok, ok.","Ok, ok."
Esta noite.,Tonight.
Aceito.,Accepted.
Lá em cima.,Up there.
Não se preocupem.,Do not worry.
Estamos quase lá.,We are almost there.
Voltem!,Come back!
Nós conseguimos.,We did it.
não é?,it is not?
O que achou?,What do you think?
Mas eu...,But I...
Aguente firme.,Hold tight.
O que você está dizendo?,What are you saying?
Puxa vida!,Gosh life!
Vá com calma.,Take it easy.
É só que...,It's just ...
Olhe para isso.,Look at this.
Qual seu nome?,What is your name?
Vamos dar uma olhada.,Let's take a look.
O que tem?,What have?
Estás bem?,You are fine?
Diabos!,Hell!
Não pare.,Do not stop.
Onde conseguiu isso?,Where did you get it?
Não temos tempo.,We do not have time.
Mais alto!,Higher!
Vai embora.,Go away.
E quanto a você?,How about you?
Cessar fogo!,Stop fire!
Experimente.,Try it.
Você gostou?,Did you like it?
Está de brincadeira?,Are you kidding?
Veja isto.,Look at this.
Não se preocupe comigo.,Do not worry about me.
Ordem!,Order!
Onde você esteve?,Where have you been?
Por quanto tempo?,For how long?
Ele está vindo.,He is coming.
Majestade.,Majesty.
Ainda.,Yet.
Isso é ruim.,This is bad.
Não acredito em você.,I do not believe in you.
Whoo!,Whoo!
Jesse.,Jesse.
De pé!,Standing!
Foi bom.,It was good.
Vá para o inferno.,Go to hell.
Deixe-o em paz.,Leave it alone.
Está tudo certo.,Everything is alright.
Senhoras e senhores.,Ladies and gentlemen.
Que lindo.,How beautiful.
Você me assustou.,You scared me.
Como é que é?,What?
Que diabos está acontecendo?,What the hell is going on?
Alguma pergunta?,Any question?
Você voltou.,You came back.
Bom para você.,Good for you.
Como isso é possível?,How is this possible?
Para quem?,For whom?
E você é?,And you are?
Esquerda.,Left.
Não faço idéia.,I have no idea.
Ha!,There is!
Não há tempo.,There is no time.
"Não, não posso.","No, I can't."
Parados!,Stops!
O que tem ele?,What about him?
Vem comigo.,Come with me.
Phil!,Phil!
Por Deus!,For God!
Uh-huh.,Uh-huh.
Compreendo.,I understand.
Eu agradeço.,I thank.
Força!,Strength!
Aí.,There.
Pois.,Then.
Julia.,Julia.
Me larga!,Leave me!
Como estão?,How are you?
Parece ótimo.,Look great.
Não temos muito tempo.,We do not have much time.
Nome?,Name?
"Ei, ei, ei.",Hey Hey hey.
Ele está...,He is...
Por que isso?,Why that?
Nojento.,Disgusting.
Seria ótimo.,It would be amazing.
Essa foi boa.,This was good.
Madame.,Madame.
Sim ou não?,Yes or no?
Você me ama?,You love me?
"Boa noite, senhor.","Good night, sir."
O que acontece?,What happens?
Ai meu Deus.,Oh my God.
Está aí?,Are you there?
Quem é essa?,Who is this?
Sua mãe?,Your mother?
Na verdade não.,In truth no.
É loucura.,It's insane.
Ela está certa.,She is right.
Eu te odeio!,I hate you!
"Olá, pessoal.",Hey guys.
Bem-vindos.,Welcome.
Onde está você?,Where are you?
Meu amor.,My love.
Naturalmente.,Naturally.
Isso não importa.,Does not matter.
Não diga nada.,Do not say anything.
"Claro, claro.","Of course, of course."
Xerife.,Sheriff.
Hank.,Hank.
Jerry!,Jerry!
O que está errado?,What is wrong?
É mentira.,It's a lie.
"Certo, pessoal.","Right, guys."
Dói?,It hurts?
Julie.,Julie.
Fique onde está.,Stay where you are.
"Certo, vamos lá.","Alright, let's go."
É para você.,And to you.
Volto logo.,Be right back.
Podemos ir?,We can go?
É muito bom.,It is very good.
Vamos comer.,Let's eat.
Definitivamente.,Definitely.
Não me importa.,I do not care.
Quem sou eu?,Who am I?
Hm.,Hm.
Kelly.,Kelly.
Idiotas!,Idiots!
Nove.,Nine.
Você está mentindo.,You are lying.
Aproveite.,Enjoy.
Vai lá.,Go there.
Rick.,Rick.
Isso dói.,That hurts.
É perigoso.,It's dangerous.
Apresse-se.,Hurry up.
Sorria.,He used to smile.
Anda logo!,Hurry up!
Dá um tempo.,Gimme a break.
Saia do carro.,Get out of the car.
Olhe só.,Look.
Eles estão aqui.,They are here.
Só estou dizendo.,I'm just saying.
Mais tarde.,Later.
"Obrigado, querida.",Thank you my dear.
É assim.,And so.
E isso?,And that?
E por quê?,It's because?
Estão prontos?,Are ready?
Tá brincando?,Are you kidding?
O que tem aí?,What do you have there?
Isso não vai acontecer.,This will not happen.
Ed!,Ed!
Eles estão vindo.,They are coming.
Hoje à noite.,Tonight.
Ele sabe.,He knows.
Roger.,Roger.
Fora daqui!,Out of here!
"Sim, está.","Yes, it is."
Não está aqui.,Is not here.
Molly.,Molly.
Me perdoe.,Forgive me.
Como estou?,How am I?
Mas que merda!,What the fuck!
Marcus.,Marcus.
Mal posso esperar.,Can not wait.
Este?,This one?
Major.,Major.
Quem fala?,Who speaks?
Nunca se sabe.,Never know.
Karen.,Karen.
Prove.,Prove.
Para onde vamos?,Where are we going?
"Não, não é isso.","No, that's not that."
Quieta!,Quiet!
Não é engraçado.,It is not funny.
Katie.,Katie.
Deus do céu!,God of heaven!
Vocês...,You...
"Sim, obrigada.","Yes, thank you."
Você o matou.,You killed him.
Tenho de ir.,I have to go.
Eu pago.,I pay.
Como disse?,As I said?
Morra!,Die!
Me ajudem!,Help me!
É fácil.,Is easy.
Peço desculpas.,My apologies.
A culpa é minha.,That's my fault.
Oh não!,Oh no!
Eu fiz.,I did.
Preparar!,Prepare!
A,A
Como se atreve?,How dare you?
Eu gostei.,I liked.
Movam-se!,Move!
Não é assim.,It's not like this.
Quer um pouco?,Do you want some?
Mas é claro.,But of course.
Funciona.,It works.
"Sente-se, por favor.",Please sit.
Disse.,He said.
Aqui está ele.,Here he is.
Estou cansado.,I am tired.
Não há problema.,No problem.
Calma aí.,Calm down.
Parece.,Looks.
"Sim, vamos.",Yes let's go.
É muito perigoso.,It's very dangerous.
Você está pronto?,Are you ready?
Guardas!,Guards!
Que é?,What is?
Vamos dançar.,Let's Dance.
Patrick.,Patrick.
Fácil.,Easy.
Andando.,Walking.
Não se mexam!,Don't move!
Vocês dois.,You two.
Pode fazer isso?,You can do it?
O que você...,What you...
Irmã.,Sister.
Ela é...,She is...
Continua.,To be continued.
Mãos ao alto!,Hands up!
Chuck!,Chuck!
Deixe-me sair!,Let me out!
"Sim, isso mesmo.",Yes that's right.
Do que se trata?,What it is?
Você não pode fazer isso.,You can not do that.
Senta.,Sit.
"Um, dois, três, quatro.",One two three four.
Ficarei bem.,I'll be fine.
O que estão fazendo aqui?,what are you doing here?
Ela morreu.,She died.
Gosto disso.,I like that.
Credo!,Creed!
Tem alguém aqui?,Is there someone here?
Está louca?,Are you crazy?
"Sim, querida.",Yes my dear.
Gosta?,He likes?
Você verá.,You will see.
Mostre-me.,Show me.
Todos nós.,All of us.
Mais uma coisa.,One more thing.
Pode crer.,Sure.
William.,William.
"Sim, bem...",Yes well...
Junte-se a nós.,Join us.
Espere um momento.,Wait a moment.
Manda ver.,Bring it on.
Victor!,Victor!
É justo.,It's fair.
Ninguém sabe.,Nobody knows.
Preciso de você.,Need you.
Agora sim.,Now yes.
Dirija.,Drive.
Até agora.,Until now.
Onde você está indo?,Where are you going?
Sozinha?,Alone?
Estou pronta.,I'm ready.
É isto.,This is it.
Ela é linda.,She is beautiful.
Não é mesmo?,Is not it?
Acha mesmo?,Do you really think?
Terminamos.,We ended up.
Viu isso?,See that?
Você primeiro.,You first.
Vadia!,Bitch!
Prontinho.,Ready.
"Por favor, não faça isso.","Please, do not do that."
Só um momento.,Only a moment.
Que porra!,What a fuck!
Você o quê?,You what?
"Não, eu não.",No not me.
Tudo ficará bem.,Everything will be alright.
Para com isso.,So as to.
Acontece.,It happens.
Nós vamos.,We will.
Helen.,Helen.
Ahh!,Ahh!
Duas.,Two.
Por mim.,For me.
"É, eu também.",And me too.
Que diabos foi isso?,What the hell was that?
O tempo todo.,All the time.
É simples.,It's simple.
Quem é esse cara?,Who is this guy?
Assassino!,Assassin!
Você se importa?,Do you mind?
"Não, não vai.",No no go.
Eu não ligo.,I don't call.
Estou bem aqui.,I'm right here.
Por que faria isso?,Why would you do that?
Deixe-o ir.,Let him go.
Falou.,He spoke.
Quase lá.,Almost there.
Venham aqui.,Come here.
"Sim, está bem.",Yes OK.
O que fez?,What did you do?
Ela vai ficar bem.,She will be fine.
Ou o quê?,Or what?
Eva!,Eve!
São eles.,Are they.
"Espere, espere, espere.","Wait, wait, wait."
Larry.,Larry.
Não quero saber.,I do not want to know.
Senti sua falta.,I missed you.
Tudo limpo.,All clean.
Não está funcionando.,Is not working.
Deveria.,It should.
Sabia disso?,I knew that?
Estou ocupado.,I'm busy.
Vamos dar o fora daqui.,Let's get out of here.
Ethan.,Ethan.
Me dê.,Give me.
Não necessariamente.,Not necessarily.
Isso é terrível.,That is terrible.
E você também.,And you too.
Não tem graça.,It's not funny.
Eu não consigo.,I am unable.
Como sempre.,Like always.
Lá está ela.,There she is.
Foi horrível.,It was horrible.
É disso que estou falando.,That's what I'm talking about.
O que acha disso?,What do you think about this?
Nada demais.,Nothing else.
Hoje não.,Not today.
Boa garota.,Good girl.
"Ora, ora.",Well well.
Ugh!,UGH!
Tem um minuto?,Got a minute?
Você o viu?,You saw him?
Direita.,Right.
Bastante.,Quite.
Pega.,Handle.
Isso é muito bom.,That is great.
O que você sabe?,What do you know?
É diferente.,Is different.
É ridículo.,It's ridiculous.
Você ouviu isso?,Did you hear this?
Já basta.,Enough.
Foi divertido.,It was fun.
O que fazemos?,What we do?
Faça alguma coisa!,Do something!
Por exemplo?,For example?
Abaixe!,Lower!
Segurança!,Security!
Eu estava lá.,I was there.
É difícil.,It is difficult.
Vamos voltar.,Let's go back.
Que coisa?,What?
Com você.,Like you.
Hannah!,Hannah!
"Sim, eu também.","Yes, me too."
Leia.,Read.
"Sim, Sr.","Yes, Mr."
Isso é maravilhoso.,This is wonderful.
Vamos descobrir.,Let's find out.
Pegue isso.,Take it.
I. ..,I. ..
Conte-me.,Tell me.
Isto é...,That is...
Tim.,TIM.
UNITED Quality is Everything!,United Quality Is Everything!
Pule!,Jump!
Isso é besteira.,This is bullshit.
Quem foi?,Who was?
Boas notícias.,Good news.
Tio!,Uncle!
"Não, querida.",No dear.
"Vamos, rápido!",Go fast!
Minha esposa.,My wife.
Acredita nisso?,Do you believe that?
Não olhe.,Do not look.
Bonito.,Beautiful.
Posso te ajudar?,I can help you?
Lily.,Lily.
Ontem.,Yesterday.
Como vou saber?,How will I know?
Jess?,Jess?
Estão bem?,They are fine?
"Bem, bem.",Well well.
Lá vai.,There it goes.
Feliz?,Happy?
Doug!,Doug!
Ted.,Ted.
Qual o nome dele?,What's his name?
Maneiro.,Cool.
Que lugar é esse?,What place is this?
Solte-a.,Release it.
Eu a amo.,I love her.
O que faremos agora?,What are we going to do now?
Beth!,Beth!
Sangue.,Blood.
Objeção.,Objection.
Isso é nojento.,That's disgusting.
Nathan.,Nathan.
Provavelmente não.,Probably not.
FIM,END
Uma vez.,Once.
Você se lembra?,Do you remember?
Tá tudo bem.,It is good too.
"Obrigado, obrigado.",Thank you thank you.
Eu gosto disso.,I like that.
Ótima.,Excellent.
Não é necessário.,It is not necessary.
"Deus, não.",Not God.
Eu vejo.,I see.
Fascinante.,Fascinating.
Marty!,Marty!
O que é tudo isso?,What is all this?
Não estou com fome.,I'm not hungry.
Que idiota.,What an idiot.
Absolutamente não.,Absolutely not.
Posso ajudá-la?,May I help you?
Não me deixe.,Do not leave me.
Largue!,Drop it!
Protejam-se!,Protect yourself!
É bonito.,It's beautiful.
Isso é horrível.,This is horrible.
Acalmem-se.,Calm down.
Vou ficar bem.,I will be fine.
